,sentiment,content
53,neutral,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
54,neutral,@benballer  no way! damn that sucks B!  are you ok?
55,worry,sucks not being able to take days off of work or have the money to take the trip  so sad
56,enthusiasm,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to"
57,neutral,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
58,neutral,@lostluna But I got dibs on Sulu...
59,sadness,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
60,worry,@itsgabbith at once haha.  poor aby still gets sore!
61,sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
62,sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
63,sadness,@Pokinatcha  in all honesty...pain   blech.
64,sadness,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
65,neutral,At home alone with not much to do
66,worry,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.
67,sadness,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
68,worry,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
69,happiness,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
70,neutral,I cant give @jertronic any bday nudges.
71,worry,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
72,neutral,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
73,neutral,says I miss plurking.  http://plurk.com/p/wxion
74,worry,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water"
75,neutral,I miss Voobys!
76,neutral,@Dancing_Monk Neither are ELP!!
77,happiness,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
78,worry,is sad that shin ae got married...and it wasn't to alex
79,worry,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste."
80,sadness,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
81,neutral,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.
82,sadness,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
83,worry,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
84,sadness,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
85,worry,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw
86,hate,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
87,worry,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you
88,worry,I can't sleep...I keep thinking about the puppy I played with today
89,worry,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh
90,neutral,@lepetitagneau what's going on sweetheart?
91,neutral,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows"
92,worry,"Last one month due to summer, strawberry is not availble in the Chennai markets!"
93,neutral,@willxxmobb work at 6am. Gotta go to bed soon
94,love,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
95,sadness,@sweeetnspicy hiii im on my ipod...i cant fall asleep
96,sadness,dont wanna work 11-830 tomorrow  but i get paid
97,sadness,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
98,neutral,PrinceCharming
99,hate,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
100,worry,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )
101,hate,@mrgenius23 You win ... SIGH Rakeem
102,neutral,Oh is that time for real?
103,sadness,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
104,worry,Oh no one minute too late! Oh well
105,hate,"@soviet_star Damn, that sucks"
106,sadness,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
107,hate,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
108,worry,ahh! big scary bug flying around my room!!!!!
109,sadness,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
110,worry,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
111,neutral,@justamedicine  That was stone cold   Crazy....  ?
112,boredom,i'm so tired
113,neutral,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo
114,neutral,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.
115,neutral,@thecreativeone I second that. I wish it rained more where I am
116,sadness,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
117,neutral,damn it were is Eric or anyone else when you need your hair to be played with
118,neutral,I'm feel deflated. Ugh. No more dog.
119,sadness,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
120,neutral,Well it almost was a good day... Guess I just retry tomorrow
121,hate,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
122,love,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...
123,worry,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it."
124,hate,@britblackbird  youstinkatrespondingtotexts!
125,sadness,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
126,happiness,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
127,sadness,Is miserable  i feel like im gona cry  sux!
128,neutral,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.
129,worry,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one
130,neutral,"claire @breakfastnt love the show, got into the office @ 5am and no radio"
131,love,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
132,sadness,*sigh* I'm going to bed... I just don't feel right anymore...
133,neutral,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.
134,neutral,@jwillock EpiCentre Wheelock Place - tourists only..
135,sadness,Now I am depressed after watching so you think you can dance
136,sadness,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
137,neutral,miss 16'th
138,neutral,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff."
139,worry,"I cant sleep, but im too sore to move"
140,neutral,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby
141,empty,@softtouchme just answered you- never learned how to write in French- just basic stuff-
142,neutral,what is it with chocolates? i just can never say no
143,worry,Achieving a new appreciation on how a xml build script can really be painful and cumbersome
144,neutral,@ether_radio i'm too awake now  ill have a nap this afternoon
145,worry,@omfgiselle i cant do anything
146,neutral,still needs another 6 hours of sleep
147,relief,I'm at work
148,fun,RIP leonardo. You were a great mini fiddler crab
149,neutral,"Morning tweeple,way to early again"
150,sadness,"Last day working for the Uni today, sad times"
151,love,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
152,worry,My head hurts so bad I could scream!
153,worry,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
154,worry,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice
155,worry,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...
156,neutral,"where are all ma bestfriends at ? , MIA or wat ?"
157,worry,oh men!!!!!!......I really can't see my face........c'mon guys!!!
158,worry,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old"
159,worry,my sole supporter is not my sole supporter
160,hate,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
161,worry,@Emilyyy16 urgh stop it guys
162,sadness,is still missing her husband.    I really want him home.
163,sadness,I miss my puppy
164,surprise,"2 days of this month left, and I only have 400MB left on my onpeak downloads."
165,fun,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.
166,sadness,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
167,worry,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?
168,sadness,@BarbSchaefer yearling in pet home died... very sad for their whole family
169,neutral,fun in the sun hmmm hell no it's cold
170,worry,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!
171,sadness,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
172,worry,is feeling sad... for some reason..  http://plurk.com/p/wxji3
173,sadness,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
174,sadness,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
175,neutral,@juneyee i don't think so.  I WANT DETAILS.
176,neutral,@jackgraycnn Hi...!!! Who is Mary Poppins???
177,worry,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards"
178,neutral,my last tweet didn't send  bad phone
179,fun,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?
180,empty,Have a headache  I'm going to bed. Goodnight!
181,neutral,@taxidermi  I was watching Parental Control
182,fun,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay"
183,sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
184,worry,@jertronic it wont let me
185,sadness,Took a shift tomorrow.    I don't really feel like working right now.
186,sadness,but now i have no money for a phone
187,worry,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.
188,worry,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything
189,surprise,@Bern_morley where are you? In Bris? I can't hear any thunder
190,surprise,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!"
191,sadness,Too bad the Red Devils.. disappointing to say the least
192,surprise,I had a dream about a pretty pretty beach and there was no beach when I woke up
193,sadness,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
194,surprise,when da heck will the garage man get here I ask you.. WHEN..
195,worry,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff"
196,hate,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
197,worry,why are plane tickets so expensive
198,fun,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
199,worry,Needs a job BADLY!!!
200,sadness,@AlexanderGWhite daaammmnnnnn I do wish I was there.
201,worry,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb
202,sadness,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
203,empty,@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4
204,sadness,is a bad friend
205,neutral,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!
206,hate,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin
207,neutral,@aiderushton ill be over in an oir
208,neutral,@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am
209,hate,would wish the severe migrains would stop!!! doc's prescriptions arent working
210,love,@bobbyedner i missed the game
211,sadness,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
212,hate,@tiffalo cuz airlines are super lame.
213,sadness,@lenje - Still a pity it comes with no lamb though
214,sadness,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
215,relief,"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat"
216,hate,I'm so very tired...and have insomnia.
217,neutral,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down
218,neutral,@yelgiuQnayR airport? and you didnt show up tonight homo!
219,hate,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
220,neutral,@MrRathbone what about me
221,neutral,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking"
222,worry,people in my house do not know how to close doors
223,surprise,Why am I completing facebook quizzes at this time of the morning... especially a friday morning
224,neutral,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry
225,worry,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death
226,sadness,Had to cancel wow for now
227,worry,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio
228,sadness,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
229,worry,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO."
230,worry,@__sugar oh no  i am always here ;) &lt;3
231,neutral,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.
232,neutral,@ poll : was trying to get it to work in a powerpoint to no avail.
233,happiness,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
234,happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
235,neutral,"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!"
236,sadness,Up late with nothin 2 do.....
237,worry,i think the vog is making me sicker than i think. feeling slightly achy
238,empty,"@TheTombert i was watching Harpers Island, lol... there was no vodka involved"
239,worry,i am doing homework it sux big time maths is the worst!!!!!!
240,neutral,"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out."
241,neutral,#3wordsaftersex it never started...
242,sadness,sometimes i wish things could go back to the way they were the beginning of last summer
243,worry,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't"
244,empty,@tarng Trudy's off Burnet...the one up north that no one goes to
245,sadness,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."
246,happiness,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
247,worry,i'm sooooooooooooo confused
248,neutral,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well"
249,worry,"Work day 7 of 7,"
250,happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
251,neutral,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only"
252,worry,"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban"
253,neutral,@mysticnz no im not  cries LOL
254,sadness,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
255,surprise,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today"
256,hate,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
257,neutral,Come on Knight... It's been well over 4 hours
258,worry,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with
259,surprise,@FoxxFiles aw u can't let me in on the secret!
260,surprise,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like."
261,worry,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ..."
262,hate,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
263,hate,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
264,neutral,twittascope is NOT rocking my socks - go away already!!
265,neutral,Driving Back home because I forgot the piece of cake for @v_era
266,worry,@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz
267,sadness,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
268,sadness,It's pissing me off and not letting me follow ericka
269,sadness,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
270,sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
271,neutral,@koifusionpdx i was so close to the tacos...one spot too late
272,empty,@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin
273,surprise,is thinking so much and i'm at work
274,worry,I have forgot the live with the Jonas Brothers on Facebook
275,sadness,I haven't seen Muffin in two whole days!
276,sadness,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
277,surprise,my gap year is going so quick
278,worry,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today...."
279,neutral,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home
280,worry,my twitter has been hacked again
281,sadness,Just found mj mouse flats at DJs. Of course there are none left in my size
282,neutral,@passingcarss i wont have time to buy  and i need a new binder pa
283,hate,@lanacaitlin  hahaha well its try its so ugly
284,neutral,25-man Ulduar is hard...
285,worry,"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you"
286,fun,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though
287,neutral,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD]
288,neutral,@princess_oats this is happening to me too
289,surprise,@qi_tah oh no.  *hugs*
290,neutral,"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk"
291,sadness,@xoshayzers i knoww  things won't be the samee &lt;/3
292,worry,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat."
293,happiness,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
294,worry,"Okay, so twitter suddenly changed, how do I respond to messages now"
295,neutral,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.
296,worry,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!
297,sadness,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
298,neutral,@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30
299,hate,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
300,worry,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend
301,sadness,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
302,hate,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
303,neutral,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips"
304,sadness,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
305,neutral,@sillybabyjulie me too
306,neutral,@digenis that story reminds of living in Portugal
307,neutral,"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?"
308,happiness,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
309,hate,my roommate @tess_tickle loves to ignore me
310,neutral,@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.
311,neutral,@MyDailyRoutine yeahhh. &amp;dont judge my pillow
312,relief,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha"
313,sadness,my teeth and head hurts
314,sadness,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
315,hate,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
316,boredom,Waiting in line @ tryst
317,worry,Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!
318,worry,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover
319,worry,I need to be held...  Gnite.
320,worry,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents"
321,sadness,no more arrested development. i am sad.
322,neutral,"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night"
323,sadness,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
324,sadness,I feel so deflated. No more doggy.
325,worry,@blood_rain i wanna see her hair  hows everyone?
326,sadness,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
327,sadness,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
328,sadness,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
329,worry,Aww...  Pray for the arroyo family everyone!
330,neutral,@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product
331,sadness,Fuuudge. Movie store is closed
332,sadness,ALO is so sad and quiet and empty tonight
333,hate,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set"
334,worry,@wuzzyangel You never answered your DM I sent you....   I need your info...
335,worry,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...
336,sadness,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
337,worry,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!
338,worry,@jose3030 I didn't think anyone caught that
339,empty,I need to be sleeping.. But i'm not even tired..
340,empty,0
341,neutral,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE
342,neutral,"lyin in bed, up faaaaar too early"
343,sadness,Sad that Christian Lacroix had to file bankruptcy
344,sadness,I dont feel good AT ALL. fuckkk
345,boredom,why did i agree to work a double shift
346,worry,looks like i'll never go to the zoo
347,worry,@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!
348,neutral,When will Medhurst play again?
349,worry,@Moss1982 bad times?
350,hate,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor
351,sadness,Have to go to the dreaded DMV tomorrow
352,neutral,@duncm I'm a bit Ben's Thai-ed out
353,happiness,english class! working on interactive orals
354,worry,@SharonHayes Thank you for the rec but that doesn't work
355,neutral,@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?
356,worry,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie
357,worry,I don't know how ima work out tomorrow wit my body dis sore  ugh
358,neutral,in 7-11  w/o you
359,neutral,"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi"
360,worry,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.
361,sadness,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
362,worry,I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.
363,worry,"Lady across the way had a miscarriage, say a prayer"
364,sadness,God I just want to sleep.
365,hate,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??
366,worry,I feel so deflated. No more doggy.
367,sadness,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
368,hate,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
369,worry,is feeling bad  just got bad news about my Mum
370,sadness,@RealBlackWidow But but I dun wanna
371,sadness,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
372,sadness,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
373,neutral,@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!
374,neutral,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her"
375,worry,don't feel like working  I think I tweet this too often!
376,sadness,feels sick to my stomach and idkk whyy
377,worry,vineri...nimic special sau probabil un alt weekend pierdut...
378,neutral,Counting the hours of lost sunshine until the Weekend
379,surprise,@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho
380,relief,is home.  safely... but hungry
