Show Number,Air Date,Round,Category,Value,Question,Answer
5952,2010-06-29,Double Jeopardy!,"""Z"" IS FOR...",$2000,This Babylonian temple tower,a ziggurat
5803,2009-12-02,Double Jeopardy!,THE WAY IN,$2000,An Internet site that offers e-mail & a search engine is called one of these entryways to the web,a portal
1319,1990-05-03,Jeopardy!,TWINS,$200,A Minnesota Twin could tell you this word is a synonym for twin bill,Doubleheader
5054,2006-07-27,Jeopardy!,THE 2005 GREENSBORO MAYORAL RACE,$200,"Vote did he get, this 900-year-old ""Star Wars"" character",Yoda
5689,2009-05-07,Jeopardy!,PSYCH!,$400,The study of how individual differences are inherited or environmentally caused is known as behavior these,genetics
2963,1997-06-18,Jeopardy!,PROHIBITION,$300,"As the 1932 Democratic candidate for president, he promised to end prohibition",Franklin D. Roosevelt
3079,1998-01-08,Jeopardy!,ADVENTURE HEROES,$500,First names of detective Fenton Hardy's adventurous sons,Frank & Joe
1250,1990-01-26,Jeopardy!,POLITICAL TERMS & SLOGANS,$400,"In 1936 Republicans said, ""Let's get another deck"" in response to this program",The New Deal
5122,2006-12-12,Jeopardy!,NOT TO BE CONFUSED,$1000,"Alimony is what you pay to an ex; this is a brittle silvery-white metallic element, atomic no. 51",antimony
4848,2005-10-12,Jeopardy!,SHAKE YOUR TAIL FEATHER,$200,"It's the large, swift bird seen <a href=""http://www.j-archive.com/media/2005-10-12_J_16.jpg"" target=""_blank"">here</a>",an ostrich
4784,2005-05-26,Jeopardy!,THAT'S WRITE!,$600,"From the Latin for ""to write across"", it's making a written copy of dictated material",transcribe
4977,2006-04-11,Jeopardy!,TAKE A HIKE,$200,There's good hiking at several stops on this country's mountainous Chihuahua al Pacifico train,Mexico
2909,1997-04-03,Jeopardy!,ANIMALS,$100,The Tiger Swallowtail & Zebra Swallowtail are species of this insect,Butterfly
2947,1997-05-27,Double Jeopardy!,MORE DYSFUNCTIONAL ROYAL FAMILIES,$400,Henry II kept this woman of Aquitaine locked up for years after she & his sons rebelled against him,Eleanor
3909,2001-09-06,Jeopardy!,AS QUOTED IN NEWSWEEK,$300,"An NYU student said of this Clinton foe, ""He's obviously a better teacher than he is a special prosecutor""",Ken Starr
4786,2005-05-30,Jeopardy!,SPORTS 2004,$400,"All ""Hale"" this 58-year-old who won his fourth Senior PGA championship by a str--a shot",Hale Irwin
5787,2009-11-10,Jeopardy!,"""TEXT"" ME",$200,This system of linking Internet documents contains cross-references so you can jump easily between them,hypertext
3516,1999-12-13,Double Jeopardy!,ANIMALS IN SHOWBIZ,$400,"Perhaps the world's only spokesfish, he swims in Starkist ads",Charlie the Tuna
5169,2007-02-15,Double Jeopardy!,GOVERNMENT & POLITICS,$2000,The Office of English Language Acquisition belongs to this cabinet department,Department of Education
2966,1997-06-23,Double Jeopardy!,THE 16TH CENTURY,$800,In 1533 Henry VIII's marriage to Catherine of Aragon ended & this Catherine wed the future Henry II of France,Catherine de' Medici
4876,2005-11-21,Jeopardy!,AMERICANA,$400,"This missionary nurseryman did most of his work in Ohio & Indiana, where he died in 1845",Johnny Appleseed
6258,2011-11-30,Double Jeopardy!,"HELP ME, FONDA",$800,Jane Fonda helps Michael Douglas uncover hazards at a nuclear power plant in this 1979 blockbuster,The China Syndrome
2619,1996-01-11,Jeopardy!,TV BARS & RESTAURANTS,$400,On this sitcom you may find the Crane brothers having coffee at Cafe Nervosa,"""Frasier"""
4636,2004-11-01,Jeopardy!,AMERICAN HISTORY,$1000,"Seen <a href=""http://www.j-archive.com/media/2004-11-01_J_13.jpg"" target=""_blank"">here</a> at a Senate hearing, he was the first U.S. Attorney General to be convicted of a felony",John Mitchell
4690,2005-01-14,Jeopardy!,A IS FOR...,$600,"...Aesop, who gave us the moral ""the gods help them that"" do this",help themselves
3334,1999-02-18,Final Jeopardy!,MODERN AFRICAN HISTORY,None,"Africa's newest independent state, it was an Italian colony until WWII, & later incorporated into another country",Eritrea (formerly part of Ethiopia)
4639,2004-11-05,Jeopardy!,SUNSHINE,$800,The energy we call sunshine is initially generated by the Sun's fusion of hydrogen into this,helium
3914,2001-09-13,Jeopardy!,WORLD WAR II IN PICTURES,$400,"<a href=""http://www.j-archive.com/media/2001-09-13_J_25.jpg"" target=""_blank"">This band leader</a>'s plane disappeared on a trip to Paris in December 1944",Glenn Miller
5007,2006-05-23,Double Jeopardy!,"""TRUTH"" OR CONSEQUENCES",$1200,"Winston Smith works for this ironically named government unit in the novel ""1984""",the Ministry of Truth
3415,1999-06-11,Double Jeopardy!,HUMANITARIANS,$400,"He used some of his enormous wealth to build a New York City concert hall & over 2,500 public libraries",Andrew Carnegie
1158,1989-09-20,Double Jeopardy!,BOOKS & AUTHORS,$200,"This state was the setting for Edna Ferber's novel ""Ice Palace""",Alaska
5876,2010-03-15,Jeopardy!,A PIECE OF HISTORY,$600,Apollo astronauts collected 841 pounds of these (most are stored at Johnson space center),Moon rocks
2340,1994-11-04,Double Jeopardy!,DRAMA,$800,"In a 1922 Anne Nichols play, he marries an Irish girl named Rose Mary Murphy, starting a family feud",Abie
3263,1998-11-11,Double Jeopardy!,THE 13 COLONIES,$600,This colony's western boundary with Maryland was surveyed by Mason & Dixon in 1764,Delaware
1654,1991-11-07,Jeopardy!,BODIES OF WATER,$200,The Navy shipyard at Bremerton in Washington state is on this inlet of the Pacific,Puget Sound
3175,1998-05-22,Double Jeopardy!,A LITTLE BITTY COUNTRY,$1000,"Luxembourg is one-third of this economic union that was set up November 1, 1960",BENELUX
5994,2010-10-07,Jeopardy!,IF THE TV SERIES HAD A DOWNER ENDING,$400,"Boss Hogg has the General Lee impounded on dozens & dozens of felony evading arrest charges, then car-crushes it",The Dukes of Hazzard
5501,2008-07-07,Double Jeopardy!,CHRIS COLUMBUS,$1200,Chris directed the first & second installments of this Macaulay Culkin franchise,Home Alone
4032,2002-02-26,Jeopardy!,"TOO ""HARD""",$400,"It's a lightweight, protective helmet used by construction workers",a hard hat
2619,1996-01-11,Jeopardy!,INVENTORS,$300,Thomas Hancock patented vulcanized rubber in England the year before this man in the U.S.,Charles Goodyear
4209,2002-12-12,Double Jeopardy!,BASES LOADED,$1200,This island at the southern tip of South Carolina is a major Marine Corps training base,Parris Island
3531,2000-01-03,Jeopardy!,ENGLISH SHIPS,$500,In 1791 the HMS Pandora sailed into Tahiti to seize several of this ship's crew,the Bounty
5504,2008-07-10,Jeopardy!,ON A JET PLANE,$400,"It's the 2-word slang term for what is formally known as ""time zone change syndrome""",jet lag
3439,1999-07-15,Jeopardy!,10 CDs FOR A PENNY,$400,"I bought this Beatle's ""Dark Horse"" & Ravi Shankar's ""In Celebration"", which he co-produced",George Harrison
5367,2008-01-01,Jeopardy!,TEMPO TANTRUM,$1000,"This common name of the small speedy bird seen <a href=""http://www.j-archive.com/media/2008-01-01_J_30.jpg"" target=""_blank"">here</a> even means ""speedy""",swift
3614,2000-04-27,Jeopardy!,COLORFUL WORDS & PHRASES,$500,It's the NFL team that plays its home games at Lambeau Field,Green Bay Packers
3664,2000-07-06,Jeopardy!,APPLE,$500,This thickener of fruit jellies is obtained from apples,pectin
422,1986-04-22,Double Jeopardy!,GOVERNMENT,$600,"He, not the Attorney General, represents the government in cases before the Supreme Court",the Solicitor General of the U.S.
3263,1998-11-11,Double Jeopardy!,ART & ARTISTS,$1000,The name of this art style is derived from a Paris shop opened in the 1890s by dealer Siegfried Bing,Art Nouveau
4357,2003-07-08,Jeopardy!,ASIAN NATIONS,$200,In 1949 a Nationalist government in exile was established in this Asian island nation,Taiwan
3363,1999-03-31,Double Jeopardy!,"RUSSIAN ""T"" ROOM",$200,"His writing career began with the short novel ""Detstvo"" in 1852; the much longer pieces came later",Leo Tolstoy
3097,1998-02-03,Jeopardy!,THE BEE,$400,On their heads bees have 5 of these -- 2 compound & 3 simple,Eyes
5361,2007-12-24,Jeopardy!,EUROPEAN PARLIAMENT MEMBERS,$200,Eoin Ryan of this country is also a member of the Fianna Fail political party,Ireland
3840,2001-04-20,Double Jeopardy!,NEW JERSEYITES,$800,"This director of ""Lone Star"", ""Passion Fish"" & ""Return of the Secaucus Seven"" has long been based in Hoboken",John Sayles
4992,2006-05-02,Double Jeopardy!,"WHAT THE ""H""?",$2000,This Tasmanian capital was once a major center for Antarctic whalers,Hobart
2865,1997-01-31,Jeopardy!,VALENTINE'S DAY,$200,"He told the 20th Communist Party Congress Feb. 14, 1956 that war with capitalist imperialism was not inevitable",Nikita Khrushchev
5344,2007-11-29,Double Jeopardy!,FROM PAGE TO SCREEN,$800,"(<a href=""http://www.j-archive.com/media/2007-11-29_DJ_12.jpg"" target=""_blank"">Hi, I'm Sean Hayes.</a>)  I got one of my first big breaks when I was cast in the film ""A & P"", based on a story by this ""Rabbit, Run"" author",John Updike
5764,2009-10-08,Jeopardy!,ENDS WITH THE SAME 2 LETTERS,$1000,The pilgrimage to Mecca for Muslims,hajj
2815,1996-11-22,Double Jeopardy!,POSTAGE STAMPS,$800,A U.S. stamp from 1965 commemorated the 700th anniversary of the birth of this Italian poet,Dante Aligheri
4903,2005-12-28,Double Jeopardy!,CLEVELAND ROCKS!,$400,The original theme song to this TV sitcom set in Cleveland mentioned the nearby towns of Parma & Solon,The Drew Carey Show
3237,1998-10-06,Jeopardy!,FOR YOUR EYES ONLY,$100,"As you'd expect, it's the term for bifocals modified with an additional lens for intermediate distance",Trifocals
4256,2003-02-17,Double Jeopardy!,U.S. CITIES,$400,It's home to the NFL's Panthers,Charlotte
1425,1990-11-09,Double Jeopardy!,GILBERT & SULLIVAN,$800,"This opera is subtitled ""The Lass that Loved a Sailor""",The H.M.S. Pinafore
3090,1998-01-23,Jeopardy!,FILM DIRECTORS,$500,This Japanese crime organization attacked Juzo Itami after he made a 1992 film satirizing them,the Yakuza
1266,1990-02-19,Final Jeopardy!,ANCIENT HISTORY,None,"Crassus, Julius Caesar & this man formed the 1st Triumvirate",Pompey
3504,1999-11-25,Jeopardy!,LEFTOVERS,$400,"Before their royal wedding, Edward & Sophie were given the titles Earl & Countess of this",Wessex
2992,1997-09-09,Double Jeopardy!,QUESTIONS,$1000,"The second half of Senator Howard Baker's 1973 question that began, ""What did the president know?""","""And when did he know it?"""
2994,1997-09-11,Jeopardy!,ACTOR-DIRECTORS,$400,"In 1990 he directed himself in the title role of ""Dick Tracy""",Warren Beatty
5675,2009-04-17,Double Jeopardy!,BORROWED BOOK TITLES,$400,"This Steinbeck novel title comes from Genesis; Cain went there, to the land of Nod, after the murder",East of Eden
4155,2002-09-27,Jeopardy!,2-LETTER SCRABBLE WORDS,$600,A part of the psyche,id
4461,2004-01-19,Jeopardy!,MR. BUSINESSMAN,$600,"Put them in the order Richard Branson founded them: airline, record store, record label","record store, record label, airline"
5347,2007-12-04,Double Jeopardy!,HISTORIC NAMES,$1200,"This Apache tried to keep peace with the palefaces, but after his death, his son joined with the militant Geronimo",Cochise
5946,2010-06-21,Jeopardy!,ANNUAL EVENTS,$800,In the 1840s Esther Howland made these cards from imported paper lace & floral decorations,Valentines
3150,1998-04-17,Double Jeopardy!,500 YEARS AGO,$800,"On May 20, 1498 this Portuguese navigator reached Calicut on the Malibar coast of India",Vasco da Gama
4535,2004-04-30,Jeopardy!,EUROPEAN HISTORY,$400,A protest at a church in Timisoara began the rebellion that ended Ceausescu's rule in this country,Romania
3018,1997-10-15,Double Jeopardy!,AMERICAN HERSTORY,$400,"She wrote, ""I knew then that 'W-A-T-E-R' meant the ... cool something that was flowing over my hand""",Helen Keller
5072,2006-10-03,Double Jeopardy!,"MOM, I WANT I WANT I WANT!!",$800,"I want this ""lunar"" footwear, basically a pair of trampolines, to make me feel like I'm defying gravity",moon shoes
5410,2008-02-29,Jeopardy!,FOR SAX AND VIOLINS,$200,"Charlie Daniels reported a fiddle of gold was bet against a soul when ""The Devil Went Down To"" this state",Georgia
3622,2000-05-09,Jeopardy!,U.S. RIVERS,$200,Lake Texoma on the Texas-Oklahoma border was formed by damming this river,Red River of the South
5709,2009-06-04,Double Jeopardy!,THE ROYAL ONTARIO MUSEUM,$400,"(<a href=""http://www.j-archive.com/media/2009-06-04_DJ_26.jpg"" target=""_blank"">Alex reads from the Royal Ontario Museum in Canada.</a>)  <a href=""http://www.j-archive.com/media/2009-06-04_DJ_26a.jpg"" target=""_blank"">This</a> bust, once identified as just an early Ptolemaic queen, has now been shown to be this woman--famous through the ages",Cleopatra
3311,1999-01-18,Jeopardy!,AMERICA SINCE 1900,$500,"These towns, like the one seen here, were named for a 1950s builder",Levittowns
5339,2007-11-22,Double Jeopardy!,THE SCIENCE OF LIQUOR,$1600,Jameson Irish Whiskey gains its golden hue thanks partly to this acid that also helps give leather its color,tannic acid
3559,2000-02-10,Jeopardy!,SIGNS & SYMBOLS,$200,The cross seen here is used as a symbol in the battle against this disease abbreviated TB:,Tuberculosis
5346,2007-12-03,Jeopardy!,RELIGION,$400,"As part of Catholic Baptism, this word doesn't mean to go to the gym but to get rid of demons",exorcise
5250,2007-06-08,Double Jeopardy!,BARRE TENDERS,$2000,"This ballerina known for her ""Dying Swan"" role starred in the 1915 silent film ""The Dumb Girl of Portici""",Pavlova
4393,2003-10-15,Double Jeopardy!,AWARDS,$800,Britain's 200-year-old Rumford Medal is given for discoveries about heat or this form of energy,light
4244,2003-01-30,Jeopardy!,WHERE AM I?,$200,"(Jimmy of the Clue Crew)  I'm in this city, at the very first of thousands of Starbucks stores",Seattle
3621,2000-05-08,Jeopardy!,FOREWORDS,$200,"This 1955 novel's foreword says, ""I have no intention to glorify 'H.H.'....he is a shining example of moral leprosy""",Lolita
5477,2008-06-03,Jeopardy!,CLASSIC ADS & JINGLES,$400,"This cereal is ""A honey of an O""",Honey-Nut Cheerios
735,1987-11-13,Jeopardy!,ANIMALS,$500,"Types of this aquatic creature include chimney, sheep's wool, and common bath",the sponge
3668,2000-07-12,Jeopardy!,SID & MARTY KROFFT TV,$100,"On their Krofft-produced variety show, Marie Osmond was ""a little bit country"" & Donny was ""a little bit"" this",rock and roll
3772,2001-01-16,Jeopardy!,NHL TEAMS,$500,The team that wears the logo seen here plays home games in this former Olympic venue (Calgary Flames),Saddledome
2628,1996-01-24,Double Jeopardy!,WORLD CITIES,"$2,500",This Swiss city is headquarters to the World Council of Churches,Geneva
5189,2007-03-15,Double Jeopardy!,U.S. LAKES & RIVERS,$400,Oregon is in deep with this body of water on its state quarter,Crater Lake
3213,1998-07-15,Double Jeopardy!,BOOKS FOR THE BRAVE,$800,"It's a lot easier to finish this author's ""Death in Venice"" than his ""Dr. Faustus""",Thomas Mann
3273,1998-11-25,Double Jeopardy!,THOMAS PAINE,$800,"Paine took on religion in his book ""The Age Of"" this",Reason
6237,2011-11-01,Jeopardy!,WORDS CONTAINING BODY PARTS,$400,"These ""notes"" are used illicitly to help you on tests",crib notes
4795,2005-06-10,Jeopardy!,SALT,$200,In 1930 this Indian pacifist marched 200 miles to the sea to protest Britain's salt tax,Gandhi
6224,2011-10-13,Jeopardy!,ONE GOOD TURN,"$2,000",Sharp type of turn that sounds like an accessory to keep your toupee from flying off,a hairpin
4903,2005-12-28,Double Jeopardy!,CLEVELAND ROCKS!,$1200,"Kim Deal, Faith Hill & Vanilla Ice have been spotted at this attraction on the shores of Lake Erie",the Rock & Roll Hall of Fame
5376,2008-01-14,Double Jeopardy!,THE SPORTS ZONE,$1200,This fabled stadium where the Pittsburgh Pirates & Steelers used to play was demolished in 2001,Three Rivers
5996,2010-10-11,Double Jeopardy!,JERSEY GIRLS,$400,"Doing laundry in the sink, this ""Jersey Shore"" girl aka Nicole Polizzi said, ""I feel like a pilgrim from the friggin' '20s""",Snooki
6098,2011-03-02,Jeopardy!,THE WORLD,$600,"The trail named for these people led from Cuzco to Intipunku, ""the gateway of the sun"", & on to Machu Picchu",the Incans
4823,2005-07-20,Double Jeopardy!,BIBLICAL QUOTES,$400,"The Lord told him to ""Lift thou up thy rod, and stretch out thine hand over the sea, and divide it""",Moses
3158,1998-04-29,Double Jeopardy!,SEVEN,$600,"It's the title of the movie seen <a href=""http://www.j-archive.com/media/1998-04-29_DJ_20.wmv"">here</a>",The Seven Year Itch
5239,2007-05-24,Double Jeopardy!,HAIFA LOAF,$800,Haifa was a target of scud missiles from this country during the Persian Gulf War of 1991,Iraq
6000,2010-10-15,Jeopardy!,CABLE CHANNELS,"$1,000","This cable channel launched on Feb. 2, 2000--appropriately, that's 02/02",the Oxygen Channel
3722,2000-11-07,Jeopardy!,WORLD OF WORDS,$200,In Hebrew it can mean hello. goodbye or well-being,Shalom
6219,2011-10-06,Double Jeopardy!,ANGRY WORDS,$2000,These Greek female divinities punished crimes at the instigation of the victims,the furies
2352,1994-11-22,Jeopardy!,EUROPEAN CAPITALS,$200,"These animals, a symbol of the city of Bern, are kept in a pit near the river",bears
2857,1997-01-21,Double Jeopardy!,HERBS & SPICES,$200,Hungarians have many dishes named for & made with this spice,paprika
733,1987-11-11,Jeopardy!,GIRLS IN SONG,$100,"In various songs, she was a hit for Jimmy Clanton, Shocking Blue, Bananarama, and Frankie Avalon",Venus
5131,2006-12-25,Double Jeopardy!,GRAMMAR,$800,"The sentence ""Harold and Kumar go to White Castle"" has a plural compound one of these",a subject
4992,2006-05-02,Jeopardy!,LARGE EQUIPMENT,$200,"A hoisting machine, or a somewhat similar-looking wading bird",a crane
4369,2003-09-11,Double Jeopardy!,L'HOMME,$400,One of Louis Malle's first jobs in filmmaking was an assistant to this marine explorer,Jacques Cousteau
3747,2000-12-12,Double Jeopardy!,HURRY UP!,"$2,000","It's the perfect British ""street"" to report on naval maneuvers",Fleet Street
6262,2011-12-06,Double Jeopardy!,HUD SECRETARIES,$800,"HUD secretary under Nixon, he earlier served as American Motors president & sired a candidate for U.S. president",George Romney
4894,2005-12-15,Double Jeopardy!,A FOXY CATEGORY,$1600,"In an Aesop fable, Fox makes this bird drop its food by asking it to speak",Crow
4761,2005-04-25,Jeopardy!,THE ARTIST,$800,"16th century author Pietro Aretino is <a href=""http://www.j-archive.com/media/2005-04-25_J_15.jpg"" target=""_blank"">seen</a> <a href=""http://www.j-archive.com/media/2005-04-25_J_15a.jpg"" target=""_blank"">here</a> in a portrait by this Venetian pal of his",Titian
4646,2004-11-15,Jeopardy!,PITTSTORY,$400,"It's the geographically appropriate name of the Pittsburgh landmark seen <a href=""http://www.j-archive.com/media/2004-11-15_J_02.jpg"" target=""_blank"">here</a> on Feb. 11, 2001",Three Rivers Stadium
6284,2012-01-05,Jeopardy!,ARMY STRONG,$1000,"In August 2010 General Zahir Azimi announced that its army had reached target strength of 134,000 2 months ahead of schedule",Afghanistan
2236,1994-05-02,Jeopardy!,BUSINESS & INDUSTRY,$200,This company operates the 4 most popular theme parks in North America,Disney
1227,1989-12-26,Double Jeopardy!,POETRY,$200,"A 19th century rhyme says, ""He who does not love wine, women & "" this ""remains a fool his whole life long""",Song
2378,1994-12-28,Jeopardy!,RULES FROM EXODUS,$300,"One of the commandments says ""Thou shalt not bear"" this ""against thy neighbor""","""false witness"""
4903,2005-12-28,Double Jeopardy!,"""GON"" TOMORROW",$1600,This aromatic herb used in cooking bears clusters of small green & white flowers,tarragon
5476,2008-06-02,Double Jeopardy!,ART,$1200,We're not joshing--in 1769 this portrait painter got knighted,(Joshua) Reynolds
5612,2009-01-20,Double Jeopardy!,"ENDS IN ""GHT""",$800,"It can precede man, arrow & shooter",straight
4901,2005-12-26,Double Jeopardy!,ROYALTY,$1200,She became queen of England in 1702 after a riding accident led to the death of William III,Queen Anne
2737,1996-06-25,Jeopardy!,WORLD CITIES,$500,It's said this North Korean capital is the Korean Peninsula's oldest city,Pyongyang
1197,1989-11-14,Double Jeopardy!,PACIFIC ISLANDS,$600,"Associated with New Zealand, these South Sea islands named for an explorer are self-governing",the Cook Islands
4278,2003-03-19,Jeopardy!,"VEGAS, BABY",$600,"The European playground seen here, or a Las Vegas hotel",Monte Carlo
5146,2007-01-15,Jeopardy!,QUOTATIONS,$600,"In a saying attributed to the Duke of Wellington, this battle ""was won on the playing fields of Eton""",Waterloo
5836,2010-01-18,Jeopardy!,"IT'S ALL ABOUT ""U""","$1,000",This word for a perfect world comes from a 1516 book,utopia
6016,2010-11-08,Double Jeopardy!,ANCIENT PERSIA,$1600,"This ""Great"" king, dad of Xerxes I, standardized weights & measures & built highways",Darius the Great
6091,2011-02-21,Double Jeopardy!,SPANISH VERBS,$2000,"Pensar means to do this; people who do it well enough may go into a ""tank""",to think
5234,2007-05-17,Double Jeopardy!,CREOLE CURIOSITY SHOP,$2000,"Called P.G.T.,  this Confederate Creole general led the attack of Fort Sumter to start the Civil War",General Beauregard
1193,1989-11-08,Double Jeopardy!,CANADIAN HISTORY,"$1,000","A provincial capital was named for George Monteau Dunk, 2nd Earl of this",Halifax
5492,2008-06-24,Double Jeopardy!,ON YOUR INDONESIA,$1600,Indonesia shares New Guinea with Papua New Guinea & this island with Malaysia,Borneo
5865,2010-02-26,Double Jeopardy!,THE 2009 TONY AWARDS,$1200,"Liza Minnelli beat out this funnyman's show ""You're Welcome America: A Final Night with George W. Bush""",Will Ferrell
5152,2007-01-23,Jeopardy!,THE WIDE WORLD OF SPORTS,$1000,"A 2005 rain delay at the Nissan Open had this golfer known as ""Long John"" saying, ""My marriages don't last this long""","""Long John"" Daly"
2814,1996-11-21,Double Jeopardy!,19th CENTURY NOVELS,$1000,"Dostoevsky wrote ""The Brothers Karamazov"" & this Russian wrote ""Fathers and Sons""",Ivan Turgenev
6054,2010-12-30,Double Jeopardy!,I CAN PREDICT THE FUTURE,$1600,"This will be partly blotted out on May 10, 2013; if I'm with a primitive tribe that day, I can trick them into making me a god",the sun
4875,2005-11-18,Double Jeopardy!,I NEED MORE COWBELL,$400,"This group uses ""Blood Sugar Sex Magik"" & cowbell when <a href=""http://www.j-archive.com/media/2005-11-18_DJ_26.mp3"">""Breaking The Girl""</a>  <i>""Twisting and turning you're feeling the burning you're breaking the girl...""</i>",the Red Hot Chili Peppers
4757,2005-04-19,Double Jeopardy!,ABBR.,$1200,"In Internet addresses, zw stands for this country",Zimbabwe
4189,2002-11-14,Jeopardy!,21st CENTURY MUSIC,$200,"In September 2002 this Texan won Fox' ""American Idol""",Kelly Clarkson
